"姓名","統率","武力","智力","魅力","運勢","版本","政治","陸指","水指","體力"
"陳壽",NA,26,79,51,NA,"三國志7",81,NA,NA,NA
"陳震",NA,34,56,78,NA,"三國志7",75,NA,NA,NA
"陳橫",NA,61,31,42,NA,"三國志7",38,NA,NA,NA
"陳矯",NA,24,68,68,NA,"三國志7",84,NA,NA,NA
"陳騫",NA,68,56,54,NA,"三國志7",62,NA,NA,NA
"陳蘭",NA,60,43,38,NA,"三國志7",41,NA,NA,NA
"陸抗",NA,82,86,70,NA,"三國志7",64,NA,NA,NA
"陸凱",NA,63,67,68,NA,"三國志7",83,NA,NA,NA
"陸遜",NA,89,95,91,NA,"三國志7",93,NA,NA,NA
"陸績",NA,23,64,41,NA,"三國志7",68,NA,NA,NA
"陶濬",NA,62,51,53,NA,"三國志7",50,NA,NA,NA
"陶謙",NA,72,51,46,NA,"三國志7",49,NA,NA,NA
"眭固",NA,67,46,38,NA,"三國志7",21,NA,NA,NA
"傅士仁",NA,53,36,20,NA,"三國志7",38,NA,NA,NA
"傅彤",NA,63,54,32,NA,"三國志7",46,NA,NA,NA
"傅巽",NA,29,71,36,NA,"三國志7",67,NA,NA,NA
"傅僉",NA,68,42,44,NA,"三國志7",45,NA,NA,NA
"傅嬰",NA,52,38,40,NA,"三國志7",41,NA,NA,NA
"單經",NA,60,48,57,NA,"三國志7",50,NA,NA,NA
"程武",NA,35,61,45,NA,"三國志7",60,NA,NA,NA
"程秉",NA,24,65,68,NA,"三國志7",75,NA,NA,NA
"程昱",NA,53,92,74,NA,"三國志7",91,NA,NA,NA
"程普",NA,84,71,81,NA,"三國志7",70,NA,NA,NA
"程遠志",NA,78,43,52,NA,"三國志7",45,NA,NA,NA
"程銀",NA,58,31,42,NA,"三國志7",37,NA,NA,NA
"華佗",NA,34,68,60,NA,"三國志7",74,NA,NA,NA
"華雄",NA,84,41,52,NA,"三國志7",38,NA,NA,NA
"華歆",NA,59,76,53,NA,"三國志7",80,NA,NA,NA
"華覈",NA,31,78,64,NA,"三國志7",75,NA,NA,NA
"費詩",NA,28,53,63,NA,"三國志7",60,NA,NA,NA
"費禕",NA,28,86,84,NA,"三國志7",94,NA,NA,NA
"賀齊",NA,81,63,64,NA,"三國志7",48,NA,NA,NA
"越吉",NA,72,34,29,NA,"三國志7",13,NA,NA,NA
"軻比能",NA,81,56,74,NA,"三國志7",38,NA,NA,NA
"鄂煥",NA,74,46,50,NA,"三國志7",23,NA,NA,NA
"雅丹",NA,58,70,31,NA,"三國志7",52,NA,NA,NA
"馮習",NA,70,61,48,NA,"三國志7",43,NA,NA,NA
"黃忠",NA,90,51,64,NA,"三國志7",42,NA,NA,NA
"黃祖",NA,72,56,58,NA,"三國志7",53,NA,NA,NA
"黃皓",NA,15,48,18,NA,"三國志7",49,NA,NA,NA
"黃蓋",NA,86,48,80,NA,"三國志7",46,NA,NA,NA
"黃權",NA,74,76,68,NA,"三國志7",58,NA,NA,NA
"楊奉",NA,70,48,58,NA,"三國志7",16,NA,NA,NA
"楊松",NA,19,31,11,NA,"三國志7",66,NA,NA,NA
"楊柏",NA,64,31,26,NA,"三國志7",36,NA,NA,NA
"楊秋",NA,67,36,61,NA,"三國志7",43,NA,NA,NA
"楊修",NA,28,90,51,NA,"三國志7",83,NA,NA,NA
"楊祚",NA,58,48,50,NA,"三國志7",46,NA,NA,NA
"楊彪",NA,28,68,71,NA,"三國志7",78,NA,NA,NA
"楊儀",NA,30,78,32,NA,"三國志7",83,NA,NA,NA
"楊鋒",NA,50,55,43,NA,"三國志7",34,NA,NA,NA
"楊醜",NA,58,46,41,NA,"三國志7",38,NA,NA,NA
"楊懷",NA,63,38,36,NA,"三國志7",31,NA,NA,NA
"萬彧",NA,31,53,43,NA,"三國志7",55,NA,NA,NA
"董允",NA,25,77,72,NA,"三國志7",89,NA,NA,NA
"董卓",NA,83,73,53,NA,"三國志7",41,NA,NA,NA
"董和",NA,36,56,73,NA,"三國志7",83,NA,NA,NA
"董承",NA,64,72,70,NA,"三國志7",60,NA,NA,NA
"董旻",NA,54,47,26,NA,"三國志7",40,NA,NA,NA
"董昭",NA,31,81,68,NA,"三國志7",87,NA,NA,NA
"董荼那",NA,63,48,51,NA,"三國志7",45,NA,NA,NA
"董厥",NA,64,61,53,NA,"三國志7",78,NA,NA,NA
"董襲",NA,76,61,51,NA,"三國志7",43,NA,NA,NA
"虞翻",NA,68,76,48,NA,"三國志7",81,NA,NA,NA
"賈充",NA,36,91,57,NA,"三國志7",90,NA,NA,NA
"賈逵",NA,75,75,76,NA,"三國志7",81,NA,NA,NA
"賈詡",NA,61,93,65,NA,"三國志7",88,NA,NA,NA
"賈範",NA,46,71,51,NA,"三國志7",56,NA,NA,NA
"雍闓",NA,65,38,51,NA,"三國志7",36,NA,NA,NA
"雷銅",NA,73,38,50,NA,"三國志7",35,NA,NA,NA
"雷薄",NA,56,35,14,NA,"三國志7",38,NA,NA,NA
"廖化",NA,81,72,75,NA,"三國志7",51,NA,NA,NA
"廖立",NA,24,63,53,NA,"三國志7",81,NA,NA,NA
"徹里吉",NA,60,54,58,NA,"三國志7",47,NA,NA,NA
"滿寵",NA,72,81,76,NA,"三國志7",68,NA,NA,NA
"甄氏",NA,5,77,99,NA,"三國志7",62,NA,NA,NA
"管亥",NA,71,43,48,NA,"三國志7",31,NA,NA,NA
"管輅",NA,26,87,76,NA,"三國志7",64,NA,NA,NA
"臧霸",NA,80,45,71,NA,"三國志7",52,NA,NA,NA
"裴元紹",NA,52,28,24,NA,"三國志7",30,NA,NA,NA
"趙弘",NA,70,52,46,NA,"三國志7",41,NA,NA,NA
"趙統",NA,56,36,51,NA,"三國志7",40,NA,NA,NA
"趙累",NA,61,53,55,NA,"三國志7",72,NA,NA,NA
"趙雲",NA,91,78,84,NA,"三國志7",62,NA,NA,NA
"趙廣",NA,53,38,52,NA,"三國志7",42,NA,NA,NA
"趙範",NA,43,36,56,NA,"三國志7",58,NA,NA,NA
"蒯良",NA,29,79,65,NA,"三國志7",73,NA,NA,NA
"蒯越",NA,31,84,71,NA,"三國志7",74,NA,NA,NA
"劉巴",NA,64,78,53,NA,"三國志7",76,NA,NA,NA
"劉永",NA,26,43,43,NA,"三國志7",56,NA,NA,NA
"劉岱",NA,63,48,51,NA,"三國志7",43,NA,NA,NA
"劉表",NA,36,78,74,NA,"三國志7",83,NA,NA,NA
"劉封",NA,73,43,62,NA,"三國志7",42,NA,NA,NA
"劉度",NA,56,58,52,NA,"三國志7",48,NA,NA,NA
"劉豹",NA,52,34,52,NA,"三國志7",33,NA,NA,NA
"劉焉",NA,68,82,88,NA,"三國志7",91,NA,NA,NA
"劉理",NA,23,38,38,NA,"三國志7",55,NA,NA,NA
"劉備",NA,82,80,98,NA,"三國志7",76,NA,NA,NA
"劉循",NA,46,34,43,NA,"三國志7",31,NA,NA,NA
"劉琦",NA,19,51,63,NA,"三國志7",61,NA,NA,NA
"劉琮",NA,24,58,53,NA,"三國志7",55,NA,NA,NA
"劉虞",NA,42,68,90,NA,"三國志7",62,NA,NA,NA
"劉辟",NA,72,21,56,NA,"三國志7",30,NA,NA,NA
"劉璋",NA,27,48,53,NA,"三國志7",46,NA,NA,NA
"劉賢",NA,60,62,42,NA,"三國志7",36,NA,NA,NA
"劉勳",NA,63,53,58,NA,"三國志7",51,NA,NA,NA
"劉曄",NA,25,87,68,NA,"三國志7",70,NA,NA,NA
"劉諶",NA,43,61,68,NA,"三國志7",53,NA,NA,NA
"劉禪",NA,26,34,62,NA,"三國志7",27,NA,NA,NA
"劉繇",NA,74,61,70,NA,"三國志7",68,NA,NA,NA
"審配",NA,78,80,72,NA,"三國志7",61,NA,NA,NA
"樊建",NA,28,61,66,NA,"三國志7",77,NA,NA,NA
"樊稠",NA,76,34,31,NA,"三國志7",33,NA,NA,NA
"樂進",NA,81,71,74,NA,"三國志7",52,NA,NA,NA
"樂綝",NA,73,56,50,NA,"三國志7",46,NA,NA,NA
"潘鳳",NA,68,18,48,NA,"三國志7",32,NA,NA,NA
"潘璋",NA,78,41,21,NA,"三國志7",42,NA,NA,NA
"潘濬",NA,46,64,62,NA,"三國志7",80,NA,NA,NA
"滕胤",NA,41,66,61,NA,"三國志7",81,NA,NA,NA
"蔣欽",NA,84,64,86,NA,"三國志7",53,NA,NA,NA
"蔣舒",NA,51,28,34,NA,"三國志7",32,NA,NA,NA
"蔣琬",NA,38,81,78,NA,"三國志7",93,NA,NA,NA
"蔣幹",NA,18,68,51,NA,"三國志7",63,NA,NA,NA
"蔣義渠",NA,53,32,50,NA,"三國志7",41,NA,NA,NA
"蔣濟",NA,68,85,54,NA,"三國志7",72,NA,NA,NA
"蔡中",NA,49,21,50,NA,"三國志7",16,NA,NA,NA
"蔡和",NA,51,18,45,NA,"三國志7",23,NA,NA,NA
"蔡邕",NA,16,81,72,NA,"三國志7",90,NA,NA,NA
"蔡瑁",NA,70,69,58,NA,"三國志7",51,NA,NA,NA
"蔡勳",NA,57,30,33,NA,"三國志7",32,NA,NA,NA
"諸葛均",NA,52,68,60,NA,"三國志7",65,NA,NA,NA
"諸葛尚",NA,56,58,54,NA,"三國志7",46,NA,NA,NA
"諸葛亮",NA,87,92,95,NA,"三國志7",98,NA,NA,NA
"諸葛恪",NA,62,91,68,NA,"三國志7",82,NA,NA,NA
"諸葛瑾",NA,58,87,88,NA,"三國志7",92,NA,NA,NA
"諸葛誕",NA,83,70,82,NA,"三國志7",62,NA,NA,NA
"諸葛靚",NA,71,55,63,NA,"三國志7",56,NA,NA,NA
"諸葛瞻",NA,55,64,67,NA,"三國志7",65,NA,NA,NA
"鄭玄",NA,36,70,84,NA,"三國志7",92,NA,NA,NA
"鄧艾",NA,87,90,68,NA,"三國志7",90,NA,NA,NA
"鄧忠",NA,67,56,49,NA,"三國志7",48,NA,NA,NA
"鄧芝",NA,52,68,90,NA,"三國志7",86,NA,NA,NA
"鄧茂",NA,72,48,51,NA,"三國志7",40,NA,NA,NA
"鄧賢",NA,62,33,46,NA,"三國志7",36,NA,NA,NA
"鞏志",NA,36,58,52,NA,"三國志7",46,NA,NA,NA
"魯肅",NA,48,93,86,NA,"三國志7",94,NA,NA,NA
"橋瑁",NA,58,62,68,NA,"三國志7",59,NA,NA,NA
"橋蕤",NA,74,27,31,NA,"三國志7",19,NA,NA,NA
"盧植",NA,68,83,81,NA,"三國志7",85,NA,NA,NA
"穆順",NA,64,36,26,NA,"三國志7",37,NA,NA,NA
"閻宇",NA,73,56,63,NA,"三國志7",43,NA,NA,NA
"閻柔",NA,36,56,74,NA,"三國志7",63,NA,NA,NA
"閻圃",NA,26,85,69,NA,"三國志7",81,NA,NA,NA
"霍弋",NA,76,64,65,NA,"三國志7",74,NA,NA,NA
"霍峻",NA,78,53,70,NA,"三國志7",64,NA,NA,NA
"駱統",NA,70,69,68,NA,"三國志7",64,NA,NA,NA
"鮑信",NA,49,83,78,NA,"三國志7",63,NA,NA,NA
"鮑隆",NA,59,53,27,NA,"三國志7",33,NA,NA,NA
"戲志才",NA,19,86,57,NA,"三國志7",61,NA,NA,NA
"濮陽興",NA,64,68,73,NA,"三國志7",74,NA,NA,NA
"糜竺",NA,26,61,77,NA,"三國志7",83,NA,NA,NA
"糜芳",NA,62,36,18,NA,"三國志7",26,NA,NA,NA
"薛綜",NA,28,78,67,NA,"三國志7",80,NA,NA,NA
"薛瑩",NA,21,56,59,NA,"三國志7",78,NA,NA,NA
"謝旌",NA,62,23,32,NA,"三國志7",31,NA,NA,NA
"蹋頓",NA,70,61,33,NA,"三國志7",27,NA,NA,NA
"鍾會",NA,86,91,62,NA,"三國志7",64,NA,NA,NA
"鍾繇",NA,76,81,78,NA,"三國志7",88,NA,NA,NA
"韓玄",NA,58,31,16,NA,"三國志7",24,NA,NA,NA
"韓忠",NA,64,36,51,NA,"三國志7",40,NA,NA,NA
"韓浩",NA,67,76,63,NA,"三國志7",81,NA,NA,NA
"韓嵩",NA,21,74,53,NA,"三國志7",64,NA,NA,NA
"韓當",NA,81,61,57,NA,"三國志7",47,NA,NA,NA
"韓遂",NA,79,81,82,NA,"三國志7",64,NA,NA,NA
"韓暹",NA,68,42,52,NA,"三國志7",36,NA,NA,NA
"韓馥",NA,43,37,41,NA,"三國志7",36,NA,NA,NA
"簡雍",NA,36,68,63,NA,"三國志7",61,NA,NA,NA
"顏良",NA,90,21,43,NA,"三國志7",32,NA,NA,NA
"魏攸",NA,31,70,56,NA,"三國志7",58,NA,NA,NA
"魏延",NA,88,46,36,NA,"三國志7",39,NA,NA,NA
"魏續",NA,58,26,32,NA,"三國志7",43,NA,NA,NA
"龐統",NA,71,95,73,NA,"三國志7",90,NA,NA,NA
"龐德",NA,89,58,61,NA,"三國志7",51,NA,NA,NA
"龐羲",NA,61,63,58,NA,"三國志7",65,NA,NA,NA
"譚雄",NA,66,18,20,NA,"三國志7",26,NA,NA,NA
"譙周",NA,19,73,60,NA,"三國志7",82,NA,NA,NA
"邊章",NA,76,56,64,NA,"三國志7",47,NA,NA,NA
"關平",NA,74,72,74,NA,"三國志7",51,NA,NA,NA
"關羽",NA,95,81,93,NA,"三國志7",72,NA,NA,NA
"關索",NA,76,50,52,NA,"三國志7",45,NA,NA,NA
"關統",NA,68,56,51,NA,"三國志7",42,NA,NA,NA
"關興",NA,80,53,65,NA,"三國志7",48,NA,NA,NA
"關彝",NA,58,56,55,NA,"三國志7",48,NA,NA,NA
"麴義",NA,81,37,43,NA,"三國志7",35,NA,NA,NA
"禰衡",NA,31,78,28,NA,"三國志7",34,NA,NA,NA
"嚴白虎",NA,68,34,39,NA,"三國志7",43,NA,NA,NA
"嚴政",NA,71,67,43,NA,"三國志7",41,NA,NA,NA
"嚴畯",NA,11,78,83,NA,"三國志7",84,NA,NA,NA
"嚴綱",NA,65,41,50,NA,"三國志7",43,NA,NA,NA
"嚴輿",NA,73,24,25,NA,"三國志7",16,NA,NA,NA
"嚴顏",NA,78,61,58,NA,"三國志7",48,NA,NA,NA
"蘇飛",NA,58,41,63,NA,"三國志7",43,NA,NA,NA
"闞澤",NA,42,82,68,NA,"三國志7",84,NA,NA,NA
"顧雍",NA,61,82,74,NA,"三國志7",88,NA,NA,NA
"龔都",NA,53,18,35,NA,"三國志7",23,NA,NA,NA
"丁奉",NA,81,71,71,NA,"三國志8",55,NA,NA,NA
"丁封",NA,70,52,56,NA,"三國志8",43,NA,NA,NA
"丁原",NA,74,53,76,NA,"三國志8",62,NA,NA,NA
"于吉",NA,14,70,90,NA,"三國志8",83,NA,NA,NA
"于禁",NA,80,72,50,NA,"三國志8",65,NA,NA,NA
"于詮",NA,73,49,67,NA,"三國志8",46,NA,NA,NA
"兀突骨",NA,79,14,34,NA,"三國志8",15,NA,NA,NA
"士孫瑞",NA,17,60,66,NA,"三國志8",69,NA,NA,NA
"大喬",NA,60,80,80,NA,"三國志8",90,NA,NA,NA
"小喬",NA,60,85,80,NA,"三國志8",75,NA,NA,NA
"尹大目",NA,18,48,60,NA,"三國志8",52,NA,NA,NA
"尹賞",NA,34,55,54,NA,"三國志8",68,NA,NA,NA
"尹默",NA,22,66,63,NA,"三國志8",78,NA,NA,NA
"公孫度",NA,68,60,48,NA,"三國志8",58,NA,NA,NA
"公孫恭",NA,40,58,46,NA,"三國志8",62,NA,NA,NA
"公孫康",NA,66,54,58,NA,"三國志8",60,NA,NA,NA
"公孫淵",NA,73,56,63,NA,"三國志8",48,NA,NA,NA
"公孫越",NA,70,49,60,NA,"三國志8",52,NA,NA,NA
"公孫範",NA,68,58,60,NA,"三國志8",51,NA,NA,NA
"公孫續",NA,64,53,59,NA,"三國志8",58,NA,NA,NA
"公孫瓚",NA,84,62,79,NA,"三國志8",63,NA,NA,NA
"卞喜",NA,66,45,24,NA,"三國志8",32,NA,NA,NA
"太史享",NA,64,47,56,NA,"三國志8",50,NA,NA,NA
"太史慈",NA,91,58,75,NA,"三國志8",52,NA,NA,NA
"孔伷",NA,38,65,61,NA,"三國志8",78,NA,NA,NA
"孔融",NA,32,68,56,NA,"三國志8",74,NA,NA,NA
"文虎",NA,74,46,55,NA,"三國志8",43,NA,NA,NA
"文欽",NA,78,43,45,NA,"三國志8",41,NA,NA,NA
"文聘",NA,84,62,72,NA,"三國志8",61,NA,NA,NA
"文鴦",NA,83,52,65,NA,"三國志8",44,NA,NA,NA
"文醜",NA,95,29,49,NA,"三國志8",26,NA,NA,NA
"方悅",NA,79,49,61,NA,"三國志8",56,NA,NA,NA
"木鹿大王",NA,72,33,37,NA,"三國志8",16,NA,NA,NA
"毛玠",NA,63,56,58,NA,"三國志8",79,NA,NA,NA
"牛金",NA,78,32,42,NA,"三國志8",33,NA,NA,NA
"牛輔",NA,62,30,34,NA,"三國志8",28,NA,NA,NA
"王允",NA,15,67,78,NA,"三國志8",82,NA,NA,NA
"王平",NA,75,76,56,NA,"三國志8",59,NA,NA,NA
"王伉",NA,58,58,68,NA,"三國志8",66,NA,NA,NA
"王匡",NA,58,60,66,NA,"三國志8",71,NA,NA,NA
"王戎",NA,67,72,60,NA,"三國志8",54,NA,NA,NA
"王含",NA,52,56,54,NA,"三國志8",58,NA,NA,NA
"王甫",NA,43,76,72,NA,"三國志8",77,NA,NA,NA
"王忠",NA,60,33,39,NA,"三國志8",34,NA,NA,NA
"王威",NA,63,60,68,NA,"三國志8",53,NA,NA,NA
"王昶",NA,67,70,75,NA,"三國志8",74,NA,NA,NA
"王修",NA,40,68,72,NA,"三國志8",76,NA,NA,NA
"王朗",NA,41,70,48,NA,"三國志8",71,NA,NA,NA
"王基",NA,78,72,73,NA,"三國志8",69,NA,NA,NA
"王惇",NA,70,44,72,NA,"三國志8",48,NA,NA,NA
"王累",NA,30,76,70,NA,"三國志8",81,NA,NA,NA
"王淩",NA,74,72,79,NA,"三國志8",83,NA,NA,NA
"王渾",NA,76,72,72,NA,"三國志8",77,NA,NA,NA
"王肅",NA,26,85,72,NA,"三國志8",81,NA,NA,NA
"王經",NA,68,64,76,NA,"三國志8",74,NA,NA,NA
"王粲",NA,16,82,51,NA,"三國志8",85,NA,NA,NA
"王頎",NA,68,54,67,NA,"三國志8",73,NA,NA,NA
"王濬",NA,72,83,84,NA,"三國志8",80,NA,NA,NA
"王雙",NA,87,20,40,NA,"三國志8",27,NA,NA,NA
"毌丘儉",NA,78,58,60,NA,"三國志8",53,NA,NA,NA
"丘力居",NA,69,46,51,NA,"三國志8",43,NA,NA,NA
"丘建",NA,60,64,72,NA,"三國志8",64,NA,NA,NA
"北斗",NA,50,50,50,NA,"三國志8",50,NA,NA,NA
"北宮玉",NA,72,49,51,NA,"三國志8",40,NA,NA,NA
"司馬孚",NA,62,75,84,NA,"三國志8",79,NA,NA,NA
"司馬攸",NA,66,75,80,NA,"三國志8",72,NA,NA,NA
"司馬伷",NA,56,62,64,NA,"三國志8",54,NA,NA,NA
"司馬炎",NA,74,80,70,NA,"三國志8",78,NA,NA,NA
"司馬昭",NA,70,90,76,NA,"三國志8",82,NA,NA,NA
"司馬師",NA,71,88,80,NA,"三國志8",83,NA,NA,NA
"司馬朗",NA,43,64,80,NA,"三國志8",82,NA,NA,NA
"司馬望",NA,66,79,59,NA,"三國志8",67,NA,NA,NA
"司馬徽",NA,30,80,80,NA,"三國志8",86,NA,NA,NA
"司馬懿",NA,68,97,87,NA,"三國志8",91,NA,NA,NA
"句安",NA,64,52,54,NA,"三國志8",48,NA,NA,NA
"左慈",NA,11,100,43,NA,"三國志8",32,NA,NA,NA
"甘寧",NA,92,74,58,NA,"三國志8",44,NA,NA,NA
"田楷",NA,65,54,62,NA,"三國志8",56,NA,NA,NA
"田豫",NA,63,58,58,NA,"三國志8",62,NA,NA,NA
"田豐",NA,30,88,68,NA,"三國志8",85,NA,NA,NA
"田疇",NA,66,70,74,NA,"三國志8",73,NA,NA,NA
"田續",NA,56,34,32,NA,"三國志8",31,NA,NA,NA
"申耽",NA,57,48,44,NA,"三國志8",39,NA,NA,NA
"申儀",NA,55,54,47,NA,"三國志8",56,NA,NA,NA
"石苞",NA,69,58,59,NA,"三國志8",48,NA,NA,NA
"伊籍",NA,28,73,85,NA,"三國志8",85,NA,NA,NA
"伍延",NA,72,52,66,NA,"三國志8",50,NA,NA,NA
"伏完",NA,19,58,60,NA,"三國志8",60,NA,NA,NA
"全尚",NA,37,28,56,NA,"三國志8",46,NA,NA,NA
"全紀",NA,65,53,61,NA,"三國志8",49,NA,NA,NA
"全琮",NA,74,65,73,NA,"三國志8",63,NA,NA,NA
"全端",NA,67,42,55,NA,"三國志8",39,NA,NA,NA
"全禕",NA,59,51,55,NA,"三國志8",47,NA,NA,NA
"全懌",NA,64,48,54,NA,"三國志8",42,NA,NA,NA
"向朗",NA,24,72,70,NA,"三國志8",74,NA,NA,NA
"向寵",NA,66,77,71,NA,"三國志8",56,NA,NA,NA
"州泰",NA,70,67,62,NA,"三國志8",63,NA,NA,NA
"忙牙長",NA,75,12,21,NA,"三國志8",20,NA,NA,NA
"成宜",NA,66,40,51,NA,"三國志8",47,NA,NA,NA
"成濟",NA,68,19,17,NA,"三國志8",17,NA,NA,NA
"朱治",NA,70,75,74,NA,"三國志8",72,NA,NA,NA
"朱桓",NA,82,81,71,NA,"三國志8",56,NA,NA,NA
"朱異",NA,69,49,53,NA,"三國志8",42,NA,NA,NA
"朱然",NA,72,65,74,NA,"三國志8",53,NA,NA,NA
"朱褒",NA,70,21,45,NA,"三國志8",20,NA,NA,NA
"朱儁",NA,65,72,72,NA,"三國志8",62,NA,NA,NA
"朱據",NA,66,76,69,NA,"三國志8",58,NA,NA,NA
"朱靈",NA,71,52,53,NA,"三國志8",50,NA,NA,NA
"朱讚",NA,71,38,47,NA,"三國志8",36,NA,NA,NA
"朵思大王",NA,58,70,46,NA,"三國志8",50,NA,NA,NA
"羊祜",NA,67,89,88,NA,"三國志8",86,NA,NA,NA
"何太后",NA,50,50,50,NA,"三國志8",50,NA,NA,NA
"何晏",NA,33,68,16,NA,"三國志8",38,NA,NA,NA
"何植",NA,53,48,26,NA,"三國志8",36,NA,NA,NA
"何進",NA,50,29,68,NA,"三國志8",33,NA,NA,NA
"何儀",NA,63,19,28,NA,"三國志8",18,NA,NA,NA
"冷苞",NA,82,58,38,NA,"三國志8",42,NA,NA,NA
"吾彥",NA,71,75,65,NA,"三國志8",54,NA,NA,NA
"吳巨",NA,62,36,50,NA,"三國志8",42,NA,NA,NA
"吳班",NA,72,49,62,NA,"三國志8",45,NA,NA,NA
"吳國太",NA,10,50,70,NA,"三國志8",50,NA,NA,NA
"吳綱",NA,38,62,70,NA,"三國志8",68,NA,NA,NA
"吳質",NA,39,67,32,NA,"三國志8",58,NA,NA,NA
"吳蘭",NA,76,41,51,NA,"三國志8",42,NA,NA,NA
"吳懿",NA,71,68,76,NA,"三國志8",65,NA,NA,NA
"呂布",NA,100,27,36,NA,"三國志8",22,NA,NA,NA
"呂岱",NA,71,65,60,NA,"三國志8",73,NA,NA,NA
"呂威璜",NA,62,44,46,NA,"三國志8",37,NA,NA,NA
"呂虔",NA,68,61,57,NA,"三國志8",66,NA,NA,NA
"呂凱",NA,43,68,78,NA,"三國志8",84,NA,NA,NA
"呂翔",NA,65,24,26,NA,"三國志8",26,NA,NA,NA
"呂義",NA,61,49,48,NA,"三國志8",52,NA,NA,NA
"呂蒙",NA,76,92,83,NA,"三國志8",87,NA,NA,NA
"呂範",NA,62,70,68,NA,"三國志8",73,NA,NA,NA
"呂據",NA,65,61,59,NA,"三國志8",54,NA,NA,NA
"呂曠",NA,63,26,28,NA,"三國志8",28,NA,NA,NA
"宋揚",NA,70,44,39,NA,"三國志8",32,NA,NA,NA
"宋憲",NA,71,46,36,NA,"三國志8",37,NA,NA,NA
"宋謙",NA,77,53,62,NA,"三國志8",48,NA,NA,NA
"岑昏",NA,10,30,14,NA,"三國志8",28,NA,NA,NA
"岑威",NA,66,48,56,NA,"三國志8",54,NA,NA,NA
"李典",NA,76,78,62,NA,"三國志8",72,NA,NA,NA
"李恢",NA,64,65,71,NA,"三國志8",72,NA,NA,NA
"李異",NA,72,32,41,NA,"三國志8",25,NA,NA,NA
"李勝",NA,30,46,53,NA,"三國志8",74,NA,NA,NA
"李肅",NA,66,57,35,NA,"三國志8",36,NA,NA,NA
"李傕",NA,69,42,30,NA,"三國志8",31,NA,NA,NA
"李歆",NA,68,49,62,NA,"三國志8",44,NA,NA,NA
"李儒",NA,44,93,37,NA,"三國志8",76,NA,NA,NA
"李豐",NA,60,68,61,NA,"三國志8",77,NA,NA,NA
"李豐",NA,54,71,62,NA,"三國志8",68,NA,NA,NA
"李嚴",NA,86,75,74,NA,"三國志8",80,NA,NA,NA
"杜預",NA,71,83,81,NA,"三國志8",82,NA,NA,NA
"步騭",NA,58,81,73,NA,"三國志8",83,NA,NA,NA
"沙摩柯",NA,77,26,49,NA,"三國志8",26,NA,NA,NA
"沈瑩",NA,72,53,67,NA,"三國志8",48,NA,NA,NA
"車冑",NA,58,38,51,NA,"三國志8",51,NA,NA,NA
"辛毗",NA,28,77,73,NA,"三國志8",84,NA,NA,NA
"辛評",NA,34,74,65,NA,"三國志8",76,NA,NA,NA
"邢道榮",NA,73,22,27,NA,"三國志8",23,NA,NA,NA
"典韋",NA,93,35,61,NA,"三國志8",31,NA,NA,NA
"典滿",NA,73,40,50,NA,"三國志8",38,NA,NA,NA
"卓膺",NA,62,31,45,NA,"三國志8",38,NA,NA,NA
"卑衍",NA,66,42,54,NA,"三國志8",40,NA,NA,NA
"呼廚泉",NA,66,26,63,NA,"三國志8",20,NA,NA,NA
"周旨",NA,81,41,52,NA,"三國志8",43,NA,NA,NA
"周昕",NA,66,39,59,NA,"三國志8",52,NA,NA,NA
"周倉",NA,80,34,57,NA,"三國志8",32,NA,NA,NA
"周泰",NA,90,48,61,NA,"三國志8",43,NA,NA,NA
"周朝",NA,63,26,38,NA,"三國志8",22,NA,NA,NA
"周瑜",NA,69,97,92,NA,"三國志8",89,NA,NA,NA
"周魴",NA,58,84,69,NA,"三國志8",76,NA,NA,NA
"孟達",NA,72,74,52,NA,"三國志8",59,NA,NA,NA
"孟優",NA,69,23,32,NA,"三國志8",27,NA,NA,NA
"孟獲",NA,76,35,78,NA,"三國志8",39,NA,NA,NA
"於夫羅",NA,70,21,60,NA,"三國志8",34,NA,NA,NA
"武安國",NA,74,33,29,NA,"三國志8",24,NA,NA,NA
"法正",NA,56,94,60,NA,"三國志8",84,NA,NA,NA
"沮授",NA,33,85,76,NA,"三國志8",87,NA,NA,NA
"邵悌",NA,22,76,56,NA,"三國志8",62,NA,NA,NA
"金旋",NA,47,32,49,NA,"三國志8",41,NA,NA,NA
"金環三結",NA,70,33,46,NA,"三國志8",39,NA,NA,NA
"阿會喃",NA,69,30,44,NA,"三國志8",37,NA,NA,NA
"侯成",NA,74,56,58,NA,"三國志8",53,NA,NA,NA
"俄何燒戈",NA,74,18,49,NA,"三國志8",25,NA,NA,NA
"俞涉",NA,79,32,43,NA,"三國志8",35,NA,NA,NA
"南斗",NA,50,50,50,NA,"三國志8",50,NA,NA,NA
"姜維",NA,89,92,82,NA,"三國志8",76,NA,NA,NA
"施朔",NA,70,49,51,NA,"三國志8",38,NA,NA,NA
"皇甫嵩",NA,68,66,75,NA,"三國志8",58,NA,NA,NA
"紀靈",NA,81,52,61,NA,"三國志8",50,NA,NA,NA
"胡沖",NA,20,62,66,NA,"三國志8",72,NA,NA,NA
"胡車兒",NA,75,35,37,NA,"三國志8",14,NA,NA,NA
"胡烈",NA,71,75,66,NA,"三國志8",64,NA,NA,NA
"胡班",NA,60,49,64,NA,"三國志8",54,NA,NA,NA
"胡淵",NA,72,59,70,NA,"三國志8",46,NA,NA,NA
